run_id,run_label,approach,model,reasoning,pipeline_version,metric,value,raw_metric,target,task_type,modality,shotset,dataset_key,representation,model_key,pathway,ci_low,ci_high,source_file,extraction_confidence,notes
approach1_062326_nano_medium,Approach 1 062326 Nano Medium,approach1,gpt-5-nano,medium/default,new_refactored,accuracy,0.77,dispersion_high_low_accuracy,dispersion_high_low,classification,pathology_only,shotset_high_0_2_low_101_102,,,,,,,/Users/lukezhao/projects/onc/sabcs/securegpt_dispersion_approach1_pipeline_062326/all_tiers_metrics_summary.csv,high,
approach1_062326_nano_medium,Approach 1 062326 Nano Medium,approach1,gpt-5-nano,medium/default,new_refactored,f1,0.7578947368421053,dispersion_high_low_f1,dispersion_high_low,classification,pathology_only,shotset_high_0_2_low_101_102,,,,,,,/Users/lukezhao/projects/onc/sabcs/securegpt_dispersion_approach1_pipeline_062326/all_tiers_metrics_summary.csv,high,
approach1_062326_nano_medium,Approach 1 062326 Nano Medium,approach1,gpt-5-nano,medium/default,new_refactored,accuracy,0.66,relapse_accuracy,relapse,classification,pathology_only,shotset_high_0_2_low_101_102,,,,,,,/Users/lukezhao/projects/onc/sabcs/securegpt_dispersion_approach1_pipeline_062326/all_tiers_metrics_summary.csv,high,
approach1_062326_nano_medium,Approach 1 062326 Nano Medium,approach1,gpt-5-nano,medium/default,new_refactored,f1,0.46875,relapse_f1,relapse,classification,pathology_only,shotset_high_0_2_low_101_102,,,,,,,/Users/lukezhao/projects/onc/sabcs/securegpt_dispersion_approach1_pipeline_062326/all_tiers_metrics_summary.csv,high,
approach1_062326_nano_medium,Approach 1 062326 Nano Medium,approach1,gpt-5-nano,medium/default,new_refactored,needle_single_token_rate,1.0,needle_single_token_rate,needle_retrieval,operational,pathology_only,shotset_high_0_2_low_101_102,,,,,,,/Users/lukezhao/projects/onc/sabcs/securegpt_dispersion_approach1_pipeline_062326/all_tiers_metrics_summary.csv,high,
approach1_062326_nano_medium,Approach 1 062326 Nano Medium,approach1,gpt-5-nano,medium/default,new_refactored,n_cases,82.0,n_predictions,operational,operational,mri_plus_pathology,shotset_high_0_2_low_101_102,,,,,,,/Users/lukezhao/projects/onc/sabcs/securegpt_dispersion_approach1_pipeline_062326/all_tiers_metrics_summary.csv,high,
approach1_062326_nano_medium,Approach 1 062326 Nano Medium,approach1,gpt-5-nano,medium/default,new_refactored,n_skipped,18.0,n_skipped_missing_mri,operational,operational,mri_plus_pathology,shotset_high_0_2_low_101_102,,,,,,,/Users/lukezhao/projects/onc/sabcs/securegpt_dispersion_approach1_pipeline_062326/all_tiers_metrics_summary.csv,high,
approach1_062326_nano_medium,Approach 1 062326 Nano Medium,approach1,gpt-5-nano,medium/default,new_refactored,mae,95.50904947512196,dispersion_mae,dispersion_regression,regression,mri_plus_pathology,shotset_high_0_2_low_101_102,,,,,,,/Users/lukezhao/projects/onc/sabcs/securegpt_dispersion_approach1_pipeline_062326/all_tiers_metrics_summary.csv,high,
approach1_062326_nano_medium,Approach 1 062326 Nano Medium,approach1,gpt-5-nano,medium/default,new_refactored,rmse,131.9299236329206,dispersion_rmse,dispersion_regression,regression,mri_plus_pathology,shotset_high_0_2_low_101_102,,,,,,,/Users/lukezhao/projects/onc/sabcs/securegpt_dispersion_approach1_pipeline_062326/all_tiers_metrics_summary.csv,high,
approach1_062326_nano_medium,Approach 1 062326 Nano Medium,approach1,gpt-5-nano,medium/default,new_refactored,spearman_rho,0.5979640508214902,dispersion_spearman_rho,dispersion_regression,regression,mri_plus_pathology,shotset_high_0_2_low_101_102,,,,,,,/Users/lukezhao/projects/onc/sabcs/securegpt_dispersion_approach1_pipeline_062326/all_tiers_metrics_summary.csv,high,
approach1_062326_nano_medium,Approach 1 062326 Nano Medium,approach1,gpt-5-nano,medium/default,new_refactored,accuracy,0.7195121951219512,dispersion_high_low_accuracy,dispersion_high_low,classification,mri_plus_pathology,shotset_high_0_2_low_101_102,,,,,,,/Users/lukezhao/projects/onc/sabcs/securegpt_dispersion_approach1_pipeline_062326/all_tiers_metrics_summary.csv,high,
approach1_062326_nano_medium,Approach 1 062326 Nano Medium,approach1,gpt-5-nano,medium/default,new_refactored,f1,0.7228915662650602,dispersion_high_low_f1,dispersion_high_low,classification,mri_plus_pathology,shotset_high_0_2_low_101_102,,,,,,,/Users/lukezhao/projects/onc/sabcs/securegpt_dispersion_approach1_pipeline_062326/all_tiers_metrics_summary.csv,high,
approach1_062326_nano_medium,Approach 1 062326 Nano Medium,approach1,gpt-5-nano,medium/default,new_refactored,accuracy,0.8170731707317073,relapse_accuracy,relapse,classification,mri_plus_pathology,shotset_high_0_2_low_101_102,,,,,,,/Users/lukezhao/projects/onc/sabcs/securegpt_dispersion_approach1_pipeline_062326/all_tiers_metrics_summary.csv,high,
approach1_062326_nano_medium,Approach 1 062326 Nano Medium,approach1,gpt-5-nano,medium/default,new_refactored,f1,0.6153846153846154,relapse_f1,relapse,classification,mri_plus_pathology,shotset_high_0_2_low_101_102,,,,,,,/Users/lukezhao/projects/onc/sabcs/securegpt_dispersion_approach1_pipeline_062326/all_tiers_metrics_summary.csv,high,
approach1_062326_nano_medium,Approach 1 062326 Nano Medium,approach1,gpt-5-nano,medium/default,new_refactored,needle_single_token_rate,1.0,needle_single_token_rate,needle_retrieval,operational,mri_plus_pathology,shotset_high_0_2_low_101_102,,,,,,,/Users/lukezhao/projects/onc/sabcs/securegpt_dispersion_approach1_pipeline_062326/all_tiers_metrics_summary.csv,high,
approach1_062326_nano_medium,Approach 1 062326 Nano Medium,approach1,gpt-5-nano,medium/default,new_refactored,n_cases,82.0,n_predictions,operational,operational,mri_only,shotset_high_0_19_low_82_85,,,,,,,/Users/lukezhao/projects/onc/sabcs/securegpt_dispersion_approach1_pipeline_062326/all_tiers_metrics_summary.csv,high,
approach1_062326_nano_medium,Approach 1 062326 Nano Medium,approach1,gpt-5-nano,medium/default,new_refactored,n_skipped,18.0,n_skipped_missing_mri,operational,operational,mri_only,shotset_high_0_19_low_82_85,,,,,,,/Users/lukezhao/projects/onc/sabcs/securegpt_dispersion_approach1_pipeline_062326/all_tiers_metrics_summary.csv,high,
approach1_062326_nano_medium,Approach 1 062326 Nano Medium,approach1,gpt-5-nano,medium/default,new_refactored,mae,75.61752443926831,dispersion_mae,dispersion_regression,regression,mri_only,shotset_high_0_19_low_82_85,,,,,,,/Users/lukezhao/projects/onc/sabcs/securegpt_dispersion_approach1_pipeline_062326/all_tiers_metrics_summary.csv,high,
approach1_062326_nano_medium,Approach 1 062326 Nano Medium,approach1,gpt-5-nano,medium/default,new_refactored,rmse,100.06390401689018,dispersion_rmse,dispersion_regression,regression,mri_only,shotset_high_0_19_low_82_85,,,,,,,/Users/lukezhao/projects/onc/sabcs/securegpt_dispersion_approach1_pipeline_062326/all_tiers_metrics_summary.csv,high,
approach1_062326_nano_medium,Approach 1 062326 Nano Medium,approach1,gpt-5-nano,medium/default,new_refactored,spearman_rho,0.3969561098575721,dispersion_spearman_rho,dispersion_regression,regression,mri_only,shotset_high_0_19_low_82_85,,,,,,,/Users/lukezhao/projects/onc/sabcs/securegpt_dispersion_approach1_pipeline_062326/all_tiers_metrics_summary.csv,high,
